Páratartalom [%]	D1	D2	D3	D4	D5	D6	D7	D8	L1	L2	L3	L4	L5	L6	L7	L8	Méretszám	Idő különbség [perc]	Megerősített?
66	0	0	142	2645	2003	0	0	0	2645	2003	142	0	0	0	0	0	4790	766,5	1
69	1695	177	32	19	13	16	13	14	1695	177	32	19	16	14	13	13	1979	10750,5	1
53	283	1548	1259	5	0	0	0	0	1548	1259	283	5	0	0	0	0	3095	322,9	1
52	0	0	1660	2149	415	3	5	5	2149	1660	415	5	5	3	0	0	4237	611	0
64	0	0	4238	2708	3	1	1	2	4238	2708	3	2	1	1	0	0	6953	6,2	1
64	3	16	1032	2785	1093	32	3	0	2785	1093	1032	32	16	3	3	0	4964	201,3	1
64	0	0	0	0	2449	1982	12	0	2449	1982	12	0	0	0	0	0	4443	20,2	1
64	2	5	4	0	1885	5	6	5	1885	6	5	5	5	4	2	0	1912	12	1
64	0	0	0	2739	4107	0	0	0	4107	2739	0	0	0	0	0	0	6846	14,3	1
64	0	64	1165	3020	1868	114	0	0	3020	1868	1165	114	64	0	0	0	6231	6,7	0
64	0	0	175	1473	4362	83	0	0	4362	1473	175	83	0	0	0	0	6093	10,8	1
50	0	0	0	0	2570	2178	8	15	2570	2178	15	8	0	0	0	0	4771	83,6	1
64	0	658	4448	257	0	1	1	0	4448	658	257	1	1	0	0	0	5365	95,8	1
50	0	0	0	0	2328	2994	0	5	2994	2328	5	0	0	0	0	0	5327	76,6	1
64	4	0	2911	1614	23	0	0	0	2911	1614	23	4	0	0	0	0	4552	44,2	1
62	21	1782	3376	920	1	8	12	23	3376	1782	920	23	21	12	8	1	6143	48,2	1
50	10	5	0	0	2376	16	21	1	2376	21	16	10	5	1	0	0	2429	98	1
59	0	0	0	706	4344	0	8	0	4344	706	8	0	0	0	0	0	5058	14,4	1
62	0	0	0	0	4626	2656	0	0	4626	2656	0	0	0	0	0	0	7282	69,2	1
51	2	0	0	0	0	1704	563	0	1704	563	2	0	0	0	0	0	2269	8,7	1
51	0	0	0	766	2706	15	30	32	2706	766	32	30	15	0	0	0	3549	11,6	1
51	109	607	1212	1682	1252	717	134	28	1682	1252	1212	717	607	134	109	28	5741	9,6	0
62	44	15	413	1655	1649	939	69	49	1655	1649	939	413	69	49	44	15	4833	18	0
51	9	30	312	618	1446	662	304	44	1446	662	618	312	304	44	30	9	3425	46,8	0
64	2	0	0	0	2872	1593	0	0	2872	1593	2	0	0	0	0	0	4467	50,6	1
52	0	0	2131	14	8	5	9	10	2131	14	10	9	8	5	0	0	2177	16,8	1
